iter	Passed	Remaining
290	12803	4795
291	12849	4752
292	12892	4708
293	12934	4663
294	12977	4619
295	13022	4575
296	13065	4531
297	13108	4486
298	13152	4442
299	13195	4398
300	13239	4354
301	13283	4310
302	13326	4266
303	13370	4222
304	13413	4177
305	13457	4134
306	13502	4090
307	13544	4045
308	13587	4001
309	13630	3957
310	13676	3913
311	13719	3869
312	13763	3825
313	13806	3781
314	13853	3738
315	13896	3694
316	13939	3649
317	13982	3605
318	14026	3561
319	14069	3517
320	14114	3473
321	14157	3429
322	14200	3385
323	14242	3340
324	14286	3296
325	14330	3252
326	14373	3208
327	14415	3164
328	14458	3120
329	14503	3076
330	14548	3032
331	14591	2988
332	14633	2944
333	14676	2900
334	14721	2856
335	14765	2812
336	14807	2768
337	14851	2724
338	14894	2680
339	14937	2636
340	14982	2592
341	15025	2548
342	15067	2503
343	15111	2460
344	15153	2415
345	15198	2371
346	15243	2328
347	15285	2284
348	15328	2239
349	15372	2196
350	15416	2152
351	15460	2108
352	15503	2064
353	15546	2020
354	15589	1976
355	15632	1932
356	15676	1888
357	15718	1844
358	15761	1800
359	15805	1756
360	15851	1712
361	15894	1668
362	15936	1624
363	15978	1580
364	16024	1536
365	16068	1492
366	16110	1448
367	16154	1404
368	16197	1360
369	16243	1317
370	16287	1273
371	16331	1229
372	16374	1185
373	16419	1141
374	16463	1097
375	16506	1053
376	16549	1009
377	16592	965
378	16635	921
379	16679	877
380	16720	833
381	16762	789
382	16805	745
383	16851	702
384	16896	658
385	16938	614
386	16981	570
387	17024	526
388	17067	482
389	17112	438
390	17154	394
391	17197	350
392	17239	307
393	17283	263
394	17329	219
395	17372	175
396	17416	131
397	17461	87
398	17506	43
399	17549	0
