iter	Logloss
0	0.6189387053
1	0.5589389505
2	0.5121887864
3	0.4654597823
4	0.4225973537
5	0.3931813641
6	0.3629233313
7	0.339436846
8	0.3143478379
9	0.2963208252
10	0.2778137332
11	0.2621325277
12	0.2476441661
13	0.2355298845
14	0.2269393702
15	0.2183869198
16	0.2067923467
17	0.1977494043
18	0.1889329395
19	0.1825914069
20	0.1757571128
21	0.1680404996
22	0.1602804542
23	0.1520671904
24	0.1463756351
25	0.1406691318
26	0.1353910076
27	0.131246373
28	0.1260486079
29	0.1220538333
30	0.118767002
31	0.1137610355
32	0.111295311
33	0.1070175173
34	0.103846647
35	0.1017653664
36	0.09739607462
37	0.09359884317
38	0.09064770978
39	0.08836727646
40	0.08556921553
41	0.08241854742
42	0.08068460109
43	0.07777260542
44	0.07503621769
45	0.07242763085
46	0.07053607836
47	0.06827713617
48	0.06596977526
49	0.06412592161
50	0.06266130294
51	0.06104672153
52	0.05992710539
53	0.05816490425
54	0.05591647658
55	0.05399717988
56	0.05295959117
57	0.05142319798
58	0.04922051771
59	0.04796835993
60	0.04620180042
61	0.04482780919
62	0.04391061323
63	0.04305264806
64	0.04194762571
65	0.04096920336
66	0.03952948974
67	0.03845052444
68	0.03732959507
69	0.03709497983
70	0.03616610615
71	0.03510863823
72	0.03387440214
73	0.03310388575
74	0.03254856696
75	0.03156801147
76	0.03071051856
77	0.02989167706
78	0.02940669673
79	0.02789018277
80	0.02735739633
81	0.02682048982
82	0.026215
83	0.02545032599
84	0.02498956513
85	0.02404015813
86	0.02338310548
87	0.02276321179
88	0.02210192425
89	0.02140010008
90	0.02086268417
91	0.02033060917
92	0.01977400993
93	0.01923373503
94	0.01873023936
95	0.01833619383
96	0.01782073973
97	0.01752438112
98	0.01691005501
99	0.0165187402
100	0.01600983715
101	0.01550993506
102	0.01515019162
103	0.01476313944
104	0.01442904908
105	0.01411996967
106	0.01377567205
107	0.01347118518
108	0.01320465166
109	0.01293788365
110	0.01267939659
111	0.01238752426
112	0.01215171458
113	0.01189666075
114	0.01166739497
115	0.01143463028
116	0.01128678734
117	0.01109619072
118	0.01095129771
119	0.01069595671
120	0.01051244078
121	0.01029094888
122	0.01008160067
123	0.009942866743
124	0.009751116285
125	0.009572133551
126	0.009400523174
127	0.00923469702
128	0.009085499333
129	0.00889762134
130	0.008683769742
131	0.00856153438
132	0.008413478065
133	0.008247309973
134	0.008092218398
135	0.00792782245
136	0.007818745633
137	0.007690601081
138	0.00757280644
139	0.007485330488
